INFO 2025-01-20 00:50:05,764 autoreload Watching for file changes with StatReloader
DEBUG 2025-01-20 00:50:05,765 autoreload Waiting for apps ready_event.
DEBUG 2025-01-20 00:50:05,813 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-01-20 00:50:05,817 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/menus/templates with glob **/*.
DEBUG 2025-01-20 00:50:05,818 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_text_ckeditor/templates with glob **/*.
DEBUG 2025-01-20 00:50:05,818 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/contrib/jumbotron/templates with glob **/*.
DEBUG 2025-01-20 00:50:05,818 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/allauth/templates with glob **/*.
DEBUG 2025-01-20 00:50:05,818 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/cms/templates with glob **/*.
DEBUG 2025-01-20 00:50:05,818 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_admin_style/templates with glob **/*.
DEBUG 2025-01-20 00:50:05,819 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/contrib/badge/templates with glob **/*.
DEBUG 2025-01-20 00:50:05,819 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/wizling/wizling/templates with glob **/*.
DEBUG 2025-01-20 00:50:05,819 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/contrib/content/templates with glob **/*.
DEBUG 2025-01-20 00:50:05,819 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/treebeard/templates with glob **/*.
DEBUG 2025-01-20 00:50:05,819 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/contrib/carousel/templates with glob **/*.
DEBUG 2025-01-20 00:50:05,819 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/templates with glob **/*.
DEBUG 2025-01-20 00:50:05,820 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/contrib/card/templates with glob **/*.
DEBUG 2025-01-20 00:50:05,820 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/parler/templates with glob **/*.
DEBUG 2025-01-20 00:50:05,820 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/contrib/collapse/templates with glob **/*.
DEBUG 2025-01-20 00:50:05,820 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/contrib/alert/templates with glob **/*.
DEBUG 2025-01-20 00:50:05,820 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_alias/templates with glob **/*.
DEBUG 2025-01-20 00:50:05,821 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/contrib/link/templates with glob **/*.
DEBUG 2025-01-20 00:50:05,821 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/contrib/icon/templates with glob **/*.
DEBUG 2025-01-20 00:50:05,821 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_versioning/templates with glob **/*.
DEBUG 2025-01-20 00:50:05,821 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/contrib/grid/templates with glob **/*.
DEBUG 2025-01-20 00:50:05,822 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/taggit/templates with glob **/*.
DEBUG 2025-01-20 00:50:05,822 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/contrib/image/templates with glob **/*.
DEBUG 2025-01-20 00:50:05,822 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/contrib/utilities/templates with glob **/*.
DEBUG 2025-01-20 00:50:05,822 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/contrib/media/templates with glob **/*.
DEBUG 2025-01-20 00:50:05,822 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/contrib/accordion/templates with glob **/*.
DEBUG 2025-01-20 00:50:05,830 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/contrib/listgroup/templates with glob **/*.
DEBUG 2025-01-20 00:50:05,830 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/filer/templates with glob **/*.
DEBUG 2025-01-20 00:50:05,830 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/contrib/navigation/templates with glob **/*.
DEBUG 2025-01-20 00:50:05,830 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/rest_framework/templates with glob **/*.
DEBUG 2025-01-20 00:50:05,830 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/contrib/tabs/templates with glob **/*.
DEBUG 2025-01-20 00:50:05,831 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,832 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/taggit/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,857 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_admin_style/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,857 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/cms/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,857 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/menus/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,857 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_text_ckeditor/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,858 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_alias/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,858 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_versioning/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,858 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/sekizai/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,858 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/treebeard/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,858 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/parler/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,858 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/filer/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,858 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/easy_thumbnails/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,859 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,859 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/contrib/accordion/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,859 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/contrib/alert/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,859 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/contrib/badge/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,860 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/contrib/card/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,860 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/contrib/carousel/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,860 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/contrib/collapse/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,861 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/contrib/content/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,861 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/contrib/grid/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,861 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/contrib/icon/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,861 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/contrib/image/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,861 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/contrib/jumbotron/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,862 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/contrib/link/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,862 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/contrib/listgroup/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,862 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/contrib/media/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,862 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/contrib/navigation/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,862 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/contrib/tabs/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,862 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/contrib/utilities/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,863 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,863 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/corsheaders/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,863 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/wizling/api/core/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,863 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/wizling/api/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,863 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/wizling/api/japanese/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,863 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/allauth/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,863 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/allauth/account/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:05,864 autoreload Watching dir /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/allauth/socialaccount/locale with glob **/*.mo.
DEBUG 2025-01-20 00:50:06,052 utils (0.003) 
                SELECT VERSION(),
                       @@sql_mode,
                       @@default_storage_engine,
                       @@sql_auto_is_null,
                       @@lower_case_table_names,
                       CONVERT_TZ('2001-01-01 01:00:00', 'UTC', 'UTC') IS NOT NULL
            ; args=None; alias=default
DEBUG 2025-01-20 00:50:06,057 utils (0.003) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2025-01-20 00:50:06,063 utils (0.007) 
            SELECT
                table_name,
                table_type,
                table_comment
            FROM information_schema.tables
            WHERE table_schema = DATABASE()
            ; args=None; alias=default
DEBUG 2025-01-20 00:50:06,082 utils (0.013) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=(); alias=default
DEBUG 2025-01-20 00:50:06,115 autoreload File /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/dotenv/variables.py first seen with mtime 1731882109.067109
DEBUG 2025-01-20 00:50:06,115 autoreload File /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/rest_framework/utils/formatting.py first seen with mtime 1731788013.6379685
DEBUG 2025-01-20 00:50:06,115 autoreload File /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/formtools/wizard/storage/exceptions.py first seen with mtime 1730585796.2821229
DEBUG 2025-01-20 00:50:06,116 autoreload File /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/rest_framework/authentication.py first seen with mtime 1731788013.5574532
DEBUG 2025-01-20 00:50:06,116 autoreload File /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/urllib3/util/connection.py first seen with mtime 1731788013.1335096
DEBUG 2025-01-20 00:50:06,116 autoreload File /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/reportlab/graphics/shapes.py first seen with mtime 1730585844.5740523
DEBUG 2025-01-20 00:50:06,116 autoreload File /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/cms/utils/compat/response.py first seen with mtime 1730585796.539601
DEBUG 2025-01-20 00:50:06,116 autoreload File /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/contrib/grid/constants.py first seen with mtime 1730585845.3623254
DEBUG 2025-01-20 00:50:06,117 autoreload File /Users/shannon/.cursor/extensions/ms-python.debugpy-2024.6.0-darwin-arm64/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_net_command.py first seen with mtime 1732721347.88671
DEBUG 2025-01-20 00:50:06,117 autoreload File /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/allauth/account/internal/flows/login_by_code.py first seen with mtime 1736136805.7344544
DEBUG 2025-01-20 00:50:06,117 autoreload File /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/django/contrib/auth/validators.py first seen with mtime 1730582505.6664345
DEBUG 2025-01-20 00:50:06,117 autoreload File /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/django/db/models/fields/files.py first seen with mtime 1730582505.9884331
DEBUG 2025-01-20 00:50:06,117 autoreload File /Users/shannon/.cursor/extensions/ms-python.debugpy-2024.6.0-darwin-arm64/bundled/libs/debugpy/_vendored/pydevd/_pydev_bundle/__init__.py first seen with mtime 1732721347.829921
DEBUG 2025-01-20 00:50:06,118 autoreload File /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/urllib3/util/request.py first seen with mtime 1731788013.1337526
DEBUG 2025-01-20 00:50:06,118 autoreload File /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/cms/wizards/forms.py first seen with mtime 1730585796.5400796
DEBUG 2025-01-20 00:50:06,118 autoreload File /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/urllib3/util/retry.py first seen with mtime 1731788013.13404
DEBUG 2025-01-20 00:50:06,118 autoreload File /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/contrib/media/cms_plugins.py first seen with mtime 1730585845.402895
DEBUG 2025-01-20 00:50:06,118 autoreload File /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/easy_thumbnails/templatetags/__init__.py first seen with mtime 1730585844.8742144
DEBUG 2025-01-20 00:50:06,118 autoreload File /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/chardet/universaldetector.py first seen with mtime 1730585844.4668784
DEBUG 2025-01-20 00:50:06,118 autoreload File /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_attributes_field/widgets.py first seen with mtime 1730585845.1899672
DEBUG 2025-01-20 00:50:06,119 autoreload File /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_frontend/contrib/utilities/templatetags/fe_utilities.py first seen with mtime 1730585845.4097114
DEBUG 2025-01-20 00:50:06,119 autoreload File /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/urllib3/util/timeout.py first seen with mtime 1731788013.134681
DEBUG 2025-01-20 00:50:06,119 autoreload File /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/filer/server/backends/default.py first seen with mtime 1730585845.2630208
DEBUG 2025-01-20 00:50:06,119 autoreload File /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/rest_framework/utils/model_meta.py first seen with mtime 1731788013.638534
DEBUG 2025-01-20 00:50:06,119 autoreload File /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/django/utils/formats.py first seen with mtime 1730582506.0144205
DEBUG 2025-01-20 00:50:06,119 autoreload File /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/svglib/svglib.py first seen with mtime 1730585844.9762144
DEBUG 2025-01-20 00:50:06,119 autoreload File /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/djangocms_alias/models.py first seen with mtime 1730585845.2003655
DEBUG 2025-01-20 00:50:06,120 autoreload File /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/rest_framework/utils/serializer_helpers.py first seen with mtime 1731788013.638793
DEBUG 2025-01-20 00:50:06,120 autoreload File /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/django/db/models/__init__.py first seen with mtime 1730582505.985461
DEBUG 2025-01-20 00:50:06,120 autoreload File /Users/shannon/Development/Python/language/language_learning/llenv/lib/python3.11/site-packages/svglib/__init__.py first seen with mtime 1730585844.9759126
